  24569      16915       31873
  23073      17035       32055
  19901      15762       33396
  16359      13908       35349
  15217      13903       35354
  14133      13897       35361
  13107      13895       35362
  12126      13894       35364
  11178      13883       35375
  10269      13876       35383
   9516      14049       35200
   9369      15197       33992
   9257      16602       32511
   8417      16830       32272
   7467      16814       32288
   6522      16759       32346
   5616      16748       32357
   4718      16710       32398
   3840      16692       32416
   2973      16671       32439
   2115      16647       32464
   1267      16641       32470
    421      16606       32507
   -421      16620       32492
  -1262      16572       32542
  -2106      16570       32545
  -2949      16538       32579
  -3803      16530       32588
  -4668      16534       32583
  -5536      16509       32609
  -6418      16492       32627
  -7314      16470       32650
  -8230      16455       32666
  -9171      16448       32673
 -10125      16423       32700
 -11115      16411       32712
 -12135      16397       32727
 -13182      16373       32753
 -14266      16346       32781
 -15402      16329       32799
 -16580      16302       32827
 -17685      16158       32979
 -19069      16213       32921
 -20547      16273       32857
 -21894      16165       32972
 -23243      16002       33143
  24462      16567       31691
  22985      16693       31865
  20331      15840       32792
  16480      13783       35027
  15340      13787       35022
  14246      13780       35031
  13209      13775       35035
  12241      13798       35011
  11285      13788       35021
  10383      13801       35008
   9563      13889       34911
   9372      14953       33756
   9219      16265       32331
   8346      16416       32167
   7392      16376       32210
   6470      16353       32235
   5564      16323       32267
   4676      16292       32301
   3803      16261       32335
   2941      16220       32380
   2094      16207       32393
   1253      16195       32407
    417      16169       32435
   -416      16160       32445
  -1248      16133       32474
  -2080      16105       32504
  -2918      16095       32515
  -3757      16065       32548
  -4610      16063       32550
  -5465      16033       32583
  -6338      16021       32596
  -7222      15999       32620
  -8129      15989       32631
  -9046      15960       32662
 -10000      15955       32668
 -10957      15914       32712
 -11964      15902       32725
 -13004      15888       32740
 -14068      15856       32774
 -15174      15825       32808
 -16340      15805       32831
 -17451      15684       32962
 -18721      15657       32991
 -20157      15704       32940
 -21613      15697       32948
 -22663      15349       33326
  23654      15340       31683
  22243      15469       31844
  20724      15461       31853
  18030      14439       33052
  16038      13803       33799
  14926      13824       33774
  13805      13786       33819
  12777      13790       33813
  11802      13808       33793
  10835      13791       33813
   9916      13791       33813
   9375      14324       33188
   9020      15239       32113
   8083      15224       32131
   7156      15180       32183
   6261      15154       32213
   5385      15126       32245
   4530      15112       32262
   3684      15083       32296
   2850      15054       32331
   2028      15032       32356
   1213      15013       32378
    403      14988       32408
   -403      14959       32442
  -1208      14954       32448
